Sl No,District,Teshil/Taluk,Area,Center_Type,Center_Name,Center_Address,Contact No,Pincode,Post_Office,Latitude,Longitude,Altitude
214,Villupuram,Ulundurpet,Ulundurpettai,Permanent,Spr-Elcot,Bdo Ulundhurpettai,7639049613,606107,Ulundurpet,11° 51.94' N,79° 25.03' E,98.00m
215,Villupuram,Villupuram,Viluppuram,Permanent,Spr-Elcot,Master Plan Complex Villupuram Dc Office Villupuram-605602,9489277874,605602,Villupuram,11° 55.99' N,79° 28.95' E,142.70m
216,Villupuram,Villupuram,Viluppuram,Permanent,Municipality,Villupuram,9688615838,605602,Villupuram,11° 56.43' N,79° 29.67' E,1.10m
217,Virudhunagar,Alampatti,Sattur,Permanent,Sattur,Sattur Municipal,9787222274,626203,Sattur,9° 30.01' N,78° 5.86' E,82.90m
218,Virudhunagar,Rajapalayam,Rajapalayam,Permanent,Rajapalayam Municipal,Rajapalayam Municipal Virudhunagar,8695416444,626117,Rajapalayam,9° 26.99' N,77° 33.66' E,178.50m
219,Virudhunagar,Sivakasi,Sivakasi,Permanent,Sivakasimunicipal,Sivakasimunicipal   Virudhunagar,9843665748,626123,Sivakasi,9° 27.15' N,77° 47.64' E,109.80m
220,Virudhunagar,Srivilliputhur,Srivilliputhur,Camp-Mode,Srivilliputhur Municipal,63 Sakkaraikulam Srivilliputhur,8344453894,626125,Srivilliputhur,9° 30.42' N,77° 38.08' E,90.20m
221,Virudhunagar,Thiruthangal,Sivakasi,Permanent,Thiruthangal Municipal,"Thiruthangal Municipal Office,Thiruthangal.",8012908706,626130,Thiruthangal,9° 28.87' N,77° 48.76' E,154.40m
222,Virudhunagar,Virudhunagar,Virudhunagar,Permanent,Tn Govt Spr-Aadhaar Centre,"Madurai Main Road, District Collectorate",9655319182,626002,Virudhunagar Collectorate,9° 28.52' N,77° 56.67' E,74.50m
223,Virudhunagar,Virudhunagar,Virudhunagar,Camp-Mode,Virudhunagar Municipal,Near Karumathi Madam,7502445679,626001,Virudhunagar,9° 34.97' N,77° 57.22' E,41.50m
