Sl No,District,Teshil/Taluk,Area,Center_Type,Center_Name,Center_Address,Contact No,Pincode,Post_Office,Latitude,Longitude,Altitude
112,Salem,Salem,Salem,Permanent,Suramangalamzone,Suramangalam Zonal Office Old Suramangalam,8526011072,636005,Suramangalam,0° .00' N,0° .00' E,.00m
113,Salem,Salem,Salem,Permanent,Ammapet,"Ammapet Zone 3,Salem 3",7708870902,636003,Ammapet,11° 39.46' N,78° 10.66' E,297.50m
114,Salem,Salem,Salem,Permanent,Narasingapuram Zone,Narasingapuram,8760659572,636108,Narasingapuram,11° 36.36' N,78° 34.45' E,223.40m
115,Sivaganga,Devakottai,Devakottai,Permanent,Devakkottai Municipality,"Opp. To Bus Stand, Thiruppattur Road, Devakkottai.",9791430623,630302,Devakottai,9° 56.91' N,78° 49.21' E,50.80m
116,Sivaganga,Enathi,Manamadurai,Permanent,Sivagangaidchq,"Sivagangai Collectorate,Sivagangai",8110805565,630561,Sivaganga,0° .00' N,0° .00' E,.00m
117,Sivaganga,Karaikkudi,Karaikkudi,Permanent,Karaikudi Municipality,"Karaikudi Municipality,100 Feet Road, Near New Bus Stand, Karaikudi.",8939300781,630001,Karaikudi,10° 4.41' N,78° 46.84' E,117.30m
118,Sivaganga,Sivaganga,Sivaganga,Permanent,Sivagangai Municipalty,150/1 Sivagangai Municipalty,9626549794,630561,Sivaganga,9° 51.66' N,78° 29.40' E,139.30m
119,Thanjavur,Kumbakonam,Kumbakonam,Permanent,Kumbakonam,Kumbakonam Municipality Kumbakonam,9943864514,612001,Kumbakonam,10° 58.09' N,79° 23.11' E,70.90m
120,Thanjavur,Pattukkottai,Pattukkottai,Permanent,Pattukkottai Municipality,1 Kasangulam Thenkarai,8270980020,614601,Pattukottai,10° 25.45' N,79° 19.24' E,52.20m
121,Thanjavur,Thanjavur,Thanjavur,Permanent,District Collectorate,District Collectorate Trichy Main Road,7373442221,613010,Tamil University,10° 43.92' N,79° 2.74' E,146.40m
122,Thanjavur,Thanjavur,Thanjavur,Permanent,Munipality Head Quater,Near Old Busstand,8760473038,613001,Thanjavur,10° 47.15' N,79° 8.31' E,33.80m
123,Thanjavur,Thanjavur,Thanjavur,Permanent,Zonal,Near Old Busstand,9677757156,613001,Thanjavur,10° 47.14' N,79° 8.31' E,74.40m
124,The Nilgiris,Coonoor,Coonoor,Permanent,Coonoor,Municipal Office Coonoor,9940957888,643102,Coonoor Rs,11° 20.59' N,76° 47.50' E,1747.00m
125,The Nilgiris,Gudalur,Gudalur,Permanent,Tn Govt Spr-Aadhaar Center,"R D O Gudalur,Municipality",8870275494,643212,Gudalur Bazaar,11° 30.13' N,76° 29.56' E,616.10m
126,The Nilgiris,Udhagamandalam,Udhagamandalam,Permanent,Tn Govt Spr-Aadhaar Centre,"Ooty Collectorate, Near Stephen Church, Ooty",9442034367,643001,Udagamandalam,11° 24.76' N,76° 42.16' E,2242.30m
127,The Nilgiris,Nellipalayam,Nellipalayam,Permanent,Nellipalayam,Nellipalayam,8754799490,643211,Nellipalayam,11° 29.10' N,76° 20.30' E,963.40m
