Sl.No,District Name,Taluk Name,Village Name,Shop Code,Shop Name
1,Ariyalur,Ariyalur,Ariyalur,15DA001PN,Amutham
2,Ariyalur,Ariyalur,Ariyalur,15DB001PN,Amaravathi-1
3,Ariyalur,Ariyalur,Ariyalur,15DB002PN,Amaravathi-2
4,Ariyalur,Ariyalur,Ariyalur,15DB004PN,Amaravathi-III
5,Ariyalur,Ariyalur,Ariyalur,15DE001PN,A.C.M.S.1
6,Ariyalur,Ariyalur,Ariyalur,15DE002PN,A.C.M.S.2
7,Ariyalur,Ariyalur,Ariyalur,15DP001PN,V.S.P-1
8,Ariyalur,Ariyalur,Ariyalur,15DP002PN,V.S.P.II
9,Ariyalur,Ariyalur,Arasunagar,15DB003PN,Arasu Nagar
10,Ariyalur,Ariyalur,Kopiliankudikadu,15DP048P1,Kopiliankudikadu
11,Ariyalur,Ariyalur,Kadugur,15DP006PY,Kadugur
12,Ariyalur,Ariyalur,Manakkudi,15DP007PN,Manakkudi
13,Ariyalur,Ariyalur,K.Poyyur,15DP006P1,K.Poyyur
14,Ariyalur,Ariyalur,Ayan Athur,15DP048PY,Ayanathur
15,Ariyalur,Ariyalur,Govindapuram,15DP025PY,Govindapuram
16,Ariyalur,Ariyalur,Govindapuram,15DP025P1,M.suppurayapuram
17,Ariyalur,Ariyalur,Ameenapath,15DP124P1,Ameenapath
18,Ariyalur,Ariyalur,Valajanagaram,15DP027PY,Valajanagaram
19,Ariyalur,Ariyalur,Rajivnagar,15DP027P1,Rajivnagar
20,Ariyalur,Ariyalur,Min Nagar,15DP027P2,Min Nagar
21,Ariyalur,Ariyalur,Kayarlapath,15DP028PY,Kayarlapath
22,Ariyalur,Ariyalur,Kayarlapath,15DP028P1,Venkadakriushnapuram
23,Ariyalur,Ariyalur,Kallankurichi,15DP029PY,Kallankurichi
24,Ariyalur,Ariyalur,Usenabath,15DP029P1,Usenabath
25,Ariyalur,Ariyalur,Seenivasapuram,15DP029P2,Seenivasapuram
26,Ariyalur,Ariyalur,Manakkal,15DP025P2,Manakkal
27,Ariyalur,Ariyalur,O.Koothur,15DP031PN,Ottakovil-1
28,Ariyalur,Ariyalur,Ottakovil,15DP032PY,Ottakovil-II
29,Ariyalur,Ariyalur,Salaiyakurichi,15DP032P1,Salaiyakurichi
30,Ariyalur,Ariyalur,Thamaraikulam,15DP025P3,Thamaraikulam
31,Ariyalur,Ariyalur,Varanavasi,15DP055PY,Varanavasi
32,Ariyalur,Ariyalur,Thavuthaikullam,15DP055P1,Thavuthaikullam
33,Ariyalur,Ariyalur,Mallur,15DP087PN,Mallur
34,Ariyalur,Ariyalur,Parpannancheri,15DP088PY,Parpannancheri
35,Ariyalur,Ariyalur,Subrayapuram,15DP092PN,Subrayapuram
36,Ariyalur,Ariyalur,Maravanur,15DP088P1,Maravanur
37,Ariyalur,Ariyalur,Poyyur,15DP008PY,Poyyur
38,Ariyalur,Ariyalur,Arungal,15DP009PY,Arungal
39,Ariyalur,Ariyalur,Archanapuram,15DP009P1,Archanapuram
40,Ariyalur,Ariyalur,Kallakudi,15DP010PY,Kallakudi
41,Ariyalur,Ariyalur,Vannarapettai,15DP010P1,Vannarapettai
42,Ariyalur,Ariyalur,Melakaruppur,15DP011PY,Melakaruppur
43,Ariyalur,Ariyalur,Semmanthangudi,15DP011P1,Semmanthangudi
44,Ariyalur,Ariyalur,Karuvidaicheri,15DP008P1,Karuvidaichri
45,Ariyalur,Ariyalur,Keezhavannam,15DP100P2,Keelavannam
46,Ariyalur,Ariyalur,Karupilakattalai,15DP100PY,Karupilakattalai
47,Ariyalur,Ariyalur,Karupilakattalai,15DP100P1,Eleri
48,Ariyalur,Ariyalur,Athikudikadu,15DP033P1,Athikudikadu
49,Ariyalur,Ariyalur,Ayyanrayampuram,15DP033PY,Ayyanrayampuram
50,Ariyalur,Ariyalur,Sennivanam,15DP034PN,Sennivanam
51,Ariyalur,Ariyalur,Poyyathanallur,15DP013PN,Poyyathanallur
52,Ariyalur,Ariyalur,Illuppaiyur,15DP037P1,Illuppaiyur
53,Ariyalur,Ariyalur,Pottaveli,15DP037PY,Pottaveli
54,Ariyalur,Ariyalur,Vellur,15DP038PN,Velur
55,Ariyalur,Ariyalur,Periyanagalur,15DP081P1,Periyanagalur
56,Ariyalur,Ariyalur,Periyanagalur,15DP081PY,Kattupringiyam
57,Ariyalur,Ariyalur,Thelur,15DP040PY,Thelur
58,Ariyalur,Ariyalur,Asthinapuram,15DP041PN,Asthinapuram
59,Ariyalur,Ariyalur,Mannuli,15DP040P1,Mannuli
60,Ariyalur,Ariyalur,Vilangudi,15DP003PY,Vilangudi
61,Ariyalur,Ariyalur,Orathur,15DP003P1,Orathur
62,Ariyalur,Ariyalur,Kavanur,15DP004PY,Kavanur
63,Ariyalur,Ariyalur,Kavanur,15DP004P1,Kavanur1
64,Ariyalur,Ariyalur,Kathankudikadu,15DP004P2,Kathankudikadu
65,Ariyalur,Ariyalur,Pudupalayam,15DP012PY,Pudupalayam
66,Ariyalur,Ariyalur,Nerinjikkorai,15DP012P1,Nerinjikkorai
67,Ariyalur,Ariyalur,Siruvalur,15DP014PY,Siruvalur
68,Ariyalur,Ariyalur,Velipringiyam,15DP012P2,Velipringiyam
69,Ariyalur,Ariyalur,Kurichinatham,15DP014P1,Kurichinatham
70,Ariyalur,Ariyalur,Periyathirukonam,15DP015PY,Periyathirukonam
71,Ariyalur,Ariyalur,Reddippalayam,15DP016PY,Reddipalayam
72,Ariyalur,Ariyalur,Aranur,15DP016P1,Aranur
73,Ariyalur,Ariyalur,Edayathankudi,15DP017PY,Edayathankudi
74,Ariyalur,Ariyalur,Muniyankurich,15DP016P2,Muniyankurich
75,Ariyalur,Ariyalur,Vaippam,15DP017P1,Vaippam
76,Ariyalur,Ariyalur,Settithirukonam,15DP015P1,Setithirukonam
77,Ariyalur,Ariyalur,Pungankuzhi,15DP018PY,Pungankuzhi
78,Ariyalur,Ariyalur,Oriyur,15DP020PN,Oriyur
79,Ariyalur,Ariyalur,Andipattakadu,15DP021PY,Andipattakadu
80,Ariyalur,Ariyalur,Vallakulam,15DP021P1,Vallakulam
81,Ariyalur,Ariyalur,Alanthuraiyarkattalai,15DP022PY,Alanthuraiyarkattalai
82,Ariyalur,Ariyalur,Panangkoor,15DP022P1,Panangkoor
83,Ariyalur,Ariyalur,Vallaikuzhi,15DP022P2,Vallaikuzhi
84,Ariyalur,Ariyalur,Sundagudi,15DP023PN,Sundagudi
85,Ariyalur,Ariyalur,Siluppanur,15DP018P1,Siluppanur
86,Ariyalur,Ariyalur,Nagamangalam,15DP024PN,Nagamangalam
87,Ariyalur,Ariyalur,Kulamanickam,15DP043PN,Kulamanickam
88,Ariyalur,Ariyalur,Sempiyakudi,15DP044PN,Sempiyakudi
89,Ariyalur,Ariyalur,Elandakudam,15DP045PN,Elandakudam-I
90,Ariyalur,Ariyalur,Elandakudam,15DP046PN,Elandakudam-II
91,Ariyalur,Ariyalur,Kovil Esanai,15DP047PN,Kovil Esanai
92,Ariyalur,Ariyalur,Vilagam,15DP117PN,Vilagam
93,Ariyalur,Ariyalur,Thirumazhapady,15DP049PY,Thirumazhapady
94,Ariyalur,Ariyalur,Thirumazhapady,15DP049P1,Gandhinagar
95,Ariyalur,Ariyalur,K.Mettutheru,15DP050PN,K.Mettuthiru
96,Ariyalur,Ariyalur,T.A.Pudukottai,15DP051PN,T.A.Puddukottai
97,Ariyalur,Ariyalur,Kandiratheertham,15DP052PN,Kandiratheertham
98,Ariyalur,Ariyalur,Annimangalam,15DP116P2,Annimangalam
99,Ariyalur,Ariyalur,Annimangalam,15DP116P1,Palayapadi
100,Ariyalur,Ariyalur,Aranmanaikurichi,15DP116PY,Aranmanaikurichi
101,Ariyalur,Ariyalur,Keelakavatankurichi,15DP054PY,Keelakavantankurichi
102,Ariyalur,Ariyalur,Keelakavatankurichi,15DP121PN,Kunthapuram
103,Ariyalur,Ariyalur,Senapathi,15DP054P1,Senapathi
104,Ariyalur,Ariyalur,Karaiyavetti,15DP056PN,Karaiyavetti
105,Ariyalur,Ariyalur,T.A.Venganur,15DP057PN,T.A.Venganur
106,Ariyalur,Ariyalur,Sannavur,15DP058PN,Sannavur
107,Ariyalur,Ariyalur,Angiyanur,15DP059PN,Angiyanur
108,Ariyalur,Ariyalur,Palinganatham,15DP060PN,Palinganatham
109,Ariyalur,Ariyalur,A.V.K.colony,15DP119P1,A.V.K.Kalani
110,Ariyalur,Ariyalur,Palaniyandinagar,15DP119PY,Palaniyandinagar
111,Ariyalur,Ariyalur,Thirumanur,15DP061PN,Thirumanur-I
112,Ariyalur,Ariyalur,Thirumanur,15DP062PN,Thirumanur-II
113,Ariyalur,Ariyalur,Vadugapalaiyam,15DP063PY,Vadugapalayam
114,Ariyalur,Ariyalur,Manjamedu,15DP064PY,Manjamedu
115,Ariyalur,Ariyalur,Mudikondan,15DP064P1,Mudikondan
116,Ariyalur,Ariyalur,Elakkurichi,15DP065PN,Elakkurichi
117,Ariyalur,Ariyalur,Melaramanallur,15DP111P2,Melaramanallur
118,Ariyalur,Ariyalur,Sengarayankattalai,15DP067PY,Sengarayankattalai
119,Ariyalur,Ariyalur,Sullangudi,15DP068PY,Sullangudi
120,Ariyalur,Ariyalur,Vilupanankurichi,15DP069PY,Vilupanankurichi
121,Ariyalur,Ariyalur,Vilupanankurichi,15DP069P1,Kumaramangalam
122,Ariyalur,Ariyalur,Azhagiyamanavalam,15DP111PY,Azagiyamanavalam
123,Ariyalur,Ariyalur,Azhagiyamanavalam,15DP111P1,Melavarappankurichi
124,Ariyalur,Ariyalur,Azhagiyamanavalam,15DP063P1,Thiruvenganur
125,Ariyalur,Ariyalur,Vandarayankattalai,15DP067P1,Vandarayankattalai
126,Ariyalur,Ariyalur,Elunachipuram,15DP068P1,Elunachipuram
127,Ariyalur,Ariyalur,Kamarasavalli,15DP070PY,Kamarasavalli
128,Ariyalur,Ariyalur,Kamarasavalli,15DP070P1,K.Mathur
129,Ariyalur,Ariyalur,Kuruvadi,15DP071PY,Kuruvadi
130,Ariyalur,Ariyalur,Koman,15DP071P1,Koman
131,Ariyalur,Ariyalur,K.Thelur,15DP071P2,K.Thelur
132,Ariyalur,Ariyalur,Thoothur,15DP072PY,Thoothur
133,Ariyalur,Ariyalur,Vaipur,15DP072P1,Vaipur
134,Ariyalur,Ariyalur,Keezhakkolathur,15DP073PY,Keezhakolathur-1
135,Ariyalur,Ariyalur,Keezhakkolathur,15DP073P1,Keezhakolathur II
136,Ariyalur,Ariyalur,Chinnapattakadu,15DP074PY,Chinnapattakadu
137,Ariyalur,Ariyalur,Chinnapattakadu,15DP074P1,Narasingapuram
138,Ariyalur,Ariyalur,Kovilur,15DP075PY,Kovilur
139,Ariyalur,Ariyalur,Kovilur,15DP075P1,SETTIKULI
140,Ariyalur,Ariyalur,Keezhaesanai,15DP074P2,Kelaesanai
141,Ariyalur,Ariyalur,Keelapaluvur,15DP076PN,Keelapalur-I
142,Ariyalur,Ariyalur,Keelapaluvur,15DP102PN,Keelapalur-II
143,Ariyalur,Ariyalur,Malathankulam,15DP077PN,Malathankulam
144,Ariyalur,Ariyalur,Keelaiyur,15DP078PN,Keelaiyur
145,Ariyalur,Ariyalur,Melapaluvur,15DP079PN,Melapalur
146,Ariyalur,Ariyalur,Poondi,15DP080PN,Poondi
147,Ariyalur,Ariyalur,Sathamangalam,15DP082PY,Sathamangalam
148,Ariyalur,Ariyalur,Vettriyur,15DP083PY,Vettriyur
149,Ariyalur,Ariyalur,Vettriyur,15DP108P1,Virakalur
150,Ariyalur,Ariyalur,Erakkudi,15DP085PY,Erakkudi
151,Ariyalur,Ariyalur,Kokkudi,15DP103PY,Kokudi
152,Ariyalur,Ariyalur,Veppanguzhi,15DP103P1,Veppanguli
153,Ariyalur,Ariyalur,Melavannam,15DP082P1,Melavannam
154,Ariyalur,Ariyalur,Ayansuthamalli,15DP085P1,Ayansuthamalli
155,Ariyalur,Ariyalur,Kallur,15DP108PY,Kallur
156,Ariyalur,Ariyalur,Thiruppeyar,15DP083P1,Thiruppayar
157,Ariyalur,Ariyalur,Pukkanguzhi,15DP018P2,P.Ottakovil
158,Ariyalur,Ariyalur,Erudhukkaranpatti,15DP124PY,Annanagar
159,Ariyalur,Uadayarpalayam,Jayankondam,15EA001PN,Amutham
160,Ariyalur,Uadayarpalayam,Jayankondam,15EB001PY,Amaravathi-1
161,Ariyalur,Uadayarpalayam,Jayankondam,15EB001P1,Melakudiyiruppu
162,Ariyalur,Uadayarpalayam,Jayankondam,15EB002PN,Amaravathi-2
163,Ariyalur,Uadayarpalayam,Jayankondam,15EB003PN,Sengunthapuram
164,Ariyalur,Uadayarpalayam,Jayankondam,15EF001PN,Jayankondam-1
165,Ariyalur,Uadayarpalayam,Jayankondam,15EF002PN,Jayankondam-2
166,Ariyalur,Uadayarpalayam,Jayankondam,15EF003PY,Jayankondam-3
167,Ariyalur,Uadayarpalayam,Jayankondam,15EF004PN,Jayankondam-4
168,Ariyalur,Uadayarpalayam,Periyavalayam,15EF003P1,Chinnavalayam
169,Ariyalur,Uadayarpalayam,Periyavalayam,15EP005PN,Periyavalayam
170,Ariyalur,Uadayarpalayam,Periyavalayam,15EP009PY,Kaluvanthondi
171,Ariyalur,Uadayarpalayam,Keezhakudiyiruppu,15EF006PY,Keelakudiyeruppu
172,Ariyalur,Uadayarpalayam,Keezhakudiyiruppu,15EF006P1,Kommedu
173,Ariyalur,Uadayarpalayam,Keezhakudiyiruppu,15EP020PY,Kallatthur
174,Ariyalur,Uadayarpalayam,Keezhakudiyiruppu,15EP020P1,Kallathurtherkutheru
175,Ariyalur,Uadayarpalayam,Varatharajanpettai,15EF005PY,Thunnur
176,Ariyalur,Uadayarpalayam,Varatharajanpettai,15EF005P1,Kallankollai
177,Ariyalur,Uadayarpalayam,Varatharajanpettai,15EF007PY,Varatharajanpetai-1
178,Ariyalur,Uadayarpalayam,Varatharajanpettai,15EF007P1,Varatharajanpati-2
179,Ariyalur,Uadayarpalayam,Udayarpalayam,15EF009PY,Udayarpalayam-1
180,Ariyalur,Uadayarpalayam,Udayarpalayam,15EF010PN,Udayarpalayam-2
181,Ariyalur,Uadayarpalayam,Udayarpalayam,15EF011PN,Udayarpalayam-3
182,Ariyalur,Uadayarpalayam,Sooriyamanal,15EP001PN,Suriyamanal
183,Ariyalur,Uadayarpalayam,Sooriyamanal,15EP012PY,Kachiperumal
184,Ariyalur,Uadayarpalayam,Sooriyamanal,15EP012P1,Ilamangalam
185,Ariyalur,Uadayarpalayam,Thandalai,15EP021P2,Vataveekam
186,Ariyalur,Uadayarpalayam,Thandalai,15EP021PY,Thandalai
187,Ariyalur,Uadayarpalayam,Thandalai,15EP021P1,Thandalai Vatakku
188,Ariyalur,Uadayarpalayam,Thandalai,15EP021P3,Marukalankurichi
189,Ariyalur,Uadayarpalayam,Eravangudi,15EP027P1,Mathapuram
190,Ariyalur,Uadayarpalayam,Eravangudi,15EP026PY,Eravangudi
191,Ariyalur,Uadayarpalayam,Eravangudi,15EP026P1,Radhapuram
192,Ariyalur,Uadayarpalayam,Eravangudi,15EP027PY,Kumilankuzhi
193,Ariyalur,Uadayarpalayam,Kattakaram(North),15EP029P2,Veerapogam
194,Ariyalur,Uadayarpalayam,Kattakaram(North),15EP029PY,Kattakaram
195,Ariyalur,Uadayarpalayam,Kattakaram(North),15EP029P1,Kuttakarai
196,Ariyalur,Uadayarpalayam,Kattakaram(South),15EP030P1,Kollapuram
197,Ariyalur,Uadayarpalayam,Pirancheri,15EP007PN,Vizhapallam
198,Ariyalur,Uadayarpalayam,Devaamangalam,15EP008PN,Devamangalam
199,Ariyalur,Uadayarpalayam,Angarayanallur(East),15EP009P1,Uthirakudi
200,Ariyalur,Uadayarpalayam,Angarayanallur(East),15EP010PN,Angarayanallur
201,Ariyalur,Uadayarpalayam,Vanathirayanpattinam,15EP011PN,Vanathirayanpattinam
202,Ariyalur,Uadayarpalayam,Edaiyar,15EP013PN,Eidaiyar
203,Ariyalur,Uadayarpalayam,Edaiyar,15EF009P1,Susaiyapparpattinam
204,Ariyalur,Uadayarpalayam,Pilichikuzhi,15EP014PN,Pilichikuzhi
205,Ariyalur,Uadayarpalayam,Thatthanur(West),15EP015PY,Thatthanur
206,Ariyalur,Uadayarpalayam,Thatthanur(West),15EP162PN,T.Kudikadu
207,Ariyalur,Uadayarpalayam,Thatthanur(West),15EP016PN,Pottakollai
208,Ariyalur,Uadayarpalayam,Thatthanur(East),15EP015P1,T.Valavettikuppam
209,Ariyalur,Uadayarpalayam,Thatthanur(East),15EP017PN,Kilaveli
210,Ariyalur,Uadayarpalayam,Cholankorichi,15EP019PN,Cholankorichi
211,Ariyalur,Uadayarpalayam,Vangudi,15EP022PN,Vangudi
212,Ariyalur,Uadayarpalayam,Pappakudi(North),15EP023PN,Tharmasamuthiram
213,Ariyalur,Uadayarpalayam,Pappakudi(North),15EP025PN,Pappakudi-2
214,Ariyalur,Uadayarpalayam,Pappakudi(North),15EP024PN,Pappakudi-1
215,Ariyalur,Uadayarpalayam,Kundaveli(East),15EP159PN,Meensuruti II
216,Ariyalur,Uadayarpalayam,Kulothunganallur,15EP030PY,Kulothunganallur
217,Ariyalur,Uadayarpalayam,Kundaveli(West),15EP031PY,Sokkalingapuram
218,Ariyalur,Uadayarpalayam,Kundaveli(West),15EP031P1,Alathipallam
219,Ariyalur,Uadayarpalayam,Mutthuservamadam,15EP033PY,Muthuservamadam
220,Ariyalur,Uadayarpalayam,Mutthuservamadam,15EP033P1,Nellithoppu
221,Ariyalur,Uadayarpalayam,Elaiyaperumalnallur,15EP034PY,Elaiyaperumalnallur
222,Ariyalur,Uadayarpalayam,Elaiyaperumalnallur,15EP034P1,Sathiram
223,Ariyalur,Uadayarpalayam,Vetthiyarvettu,15EP035PY,Vetthiyarvaddo
224,Ariyalur,Uadayarpalayam,Vembukudi,15EP038PY,Kuzhavadiyan
225,Ariyalur,Uadayarpalayam,Vembukudi,15EP038P1,Thennavanallur
226,Ariyalur,Uadayarpalayam,Utkottai(North),15EP039PY,Ulkottai-1
227,Ariyalur,Uadayarpalayam,Utkottai(North),15EP040PN,Ulkottai-2
228,Ariyalur,Uadayarpalayam,Kuruvalapparkovil,15EP041PY,Gangaikondasolapuram
229,Ariyalur,Uadayarpalayam,Kuruvalapparkovil,15EP041P1,Melasengalmedu
230,Ariyalur,Uadayarpalayam,Kuruvalapparkovil,15EP044PY,Kuruvalapparkoyil
231,Ariyalur,Uadayarpalayam,Kuruvalapparkovil,15EP044P1,Edaikattu
232,Ariyalur,Uadayarpalayam,Pitchanur,15EP042PY,Pechanur
233,Ariyalur,Uadayarpalayam,Pitchanur,15EP042P1,Poovaikulam
234,Ariyalur,Uadayarpalayam,Amanakkanthondi,15EP046PN,Puthusavadi
235,Ariyalur,Uadayarpalayam,T.Palur,15EP047PN,T.Palur-1
236,Ariyalur,Uadayarpalayam,T.Palur,15EP132PN,Thathampettai
237,Ariyalur,Uadayarpalayam,Kodankudi,15EP048PN,T.Palur-2
238,Ariyalur,Uadayarpalayam,Edangkanni,15EP049PY,Edankanni
239,Ariyalur,Uadayarpalayam,Edangkanni,15EP049P1,Annakaranpattai
240,Ariyalur,Uadayarpalayam,T.K.P.Natham,15EP051PN,T.K.P.natham
241,Ariyalur,Uadayarpalayam,Karaikurichi,15EP052PY,Karaikurichi
242,Ariyalur,Uadayarpalayam,Karaikurichi,15EP052P1,Arulmozhi
243,Ariyalur,Uadayarpalayam,Vazhaikuruchi,15EP054PY,Valaikurichi
244,Ariyalur,Uadayarpalayam,Sripuranthan(North),15EP055PN,Sripuranthan
245,Ariyalur,Uadayarpalayam,Sripuranthan(South),15EP056PN,Arankottai
246,Ariyalur,Uadayarpalayam,Kovinthaputhur,15EP057PN,Kasankottai
247,Ariyalur,Uadayarpalayam,Kovinthaputhur,15EP058PN,Kovinthaputhur
248,Ariyalur,Uadayarpalayam,Katampur,15EP059PN,Gunamangalam
249,Ariyalur,Uadayarpalayam,Katampur,15EP060PY,Katampur
250,Ariyalur,Uadayarpalayam,Katampur,15EP060P1,Mazhavarayanallur
251,Ariyalur,Uadayarpalayam,Udaiyavarthiyanur,15EP064P1,Udaiyavarthiyanur
252,Ariyalur,Uadayarpalayam,Udaiyavarthiyanur,15EP064PY,Ambalavarkattalai
253,Ariyalur,Uadayarpalayam,Keezhanattham,15EP063PY,Kizhanattham
254,Ariyalur,Uadayarpalayam,Keezhanattham,15EP063P1,Alavai
255,Ariyalur,Uadayarpalayam,Uthayanattham(West),15EP065PN,Uthayanattham
256,Ariyalur,Uadayarpalayam,Uthayanattham(East),15EP066PY,Kotalai
257,Ariyalur,Uadayarpalayam,Uthayanattham(East),15EP066P1,Ko.Kandiyankollai
258,Ariyalur,Uadayarpalayam,Anaigudam,15EP068PY,Anaigudam
259,Ariyalur,Uadayarpalayam,Anaigudam,15EP068P1,Porpathinthanallur
260,Ariyalur,Uadayarpalayam,Anaigudam,15EP068P2,Silal
261,Ariyalur,Uadayarpalayam,Cholamadevi,15EP070PY,Cholamadevi
262,Ariyalur,Uadayarpalayam,Cholamadevi,15EP070P1,Kurichi
263,Ariyalur,Uadayarpalayam,Kodankudi(North),15EP071PN,Kodankudi
264,Ariyalur,Uadayarpalayam,Nayaganaipriyal,15EP072PY,Nayakanaiperiyal
265,Ariyalur,Uadayarpalayam,Nayaganaipriyal,15EP072P1,Kelamykalpattai
266,Ariyalur,Uadayarpalayam,Irukaiyur,15EP074PN,Kottiyal
267,Ariyalur,Uadayarpalayam,Irukaiyur,15EP075PN,Irukaiyur
268,Ariyalur,Uadayarpalayam,Solankuruchi(South),15EP076PY,Kaduvattankurichi
269,Ariyalur,Uadayarpalayam,Solankuruchi(South),15EP076P1,Sengarayapuram
270,Ariyalur,Uadayarpalayam,Sutthamalli,15EP078PY,Sutthamalli
271,Ariyalur,Uadayarpalayam,Sutthamalli,15EP078P1,Puliyankudi
272,Ariyalur,Uadayarpalayam,Sutthamalli,15EP078P2,Alampallam
273,Ariyalur,Uadayarpalayam,Venmankondan(East),15EP079PY,Anikurichi
274,Ariyalur,Uadayarpalayam,Venmankondan(East),15EP080P1,Vadakadal
275,Ariyalur,Uadayarpalayam,Venmankondan(West),15EP080PY,Venmankondan
276,Ariyalur,Uadayarpalayam,Manakethi,15EP081PY,Managathi
277,Ariyalur,Uadayarpalayam,Manakethi,15EP081P1,Nachiyarpettai
278,Ariyalur,Uadayarpalayam,Manakethi,15EP081P2,Athichanur
279,Ariyalur,Uadayarpalayam,Ulliyakudi,15EP082PY,Ulliyakudi
280,Ariyalur,Uadayarpalayam,Ulliyakudi,15EP082P2,Kolaiyanur
281,Ariyalur,Uadayarpalayam,Ulliyakudi,15EP082P1,Suntharesapuram
282,Ariyalur,Uadayarpalayam,Andimadam,15EP084PY,Andimadam-1
283,Ariyalur,Uadayarpalayam,Andimadam,15EP084P1,Melaneduvai
284,Ariyalur,Uadayarpalayam,Andimadam,15EP130PN,Pattanankurichi
285,Ariyalur,Uadayarpalayam,Velanthai (North),15EP085PY,Andimadam-2
286,Ariyalur,Uadayarpalayam,Velanthai (North),15EP085P1,Annakarakuppam
287,Ariyalur,Uadayarpalayam,Velanthai (Sourth),15EP086PY,Velanthai-1
288,Ariyalur,Uadayarpalayam,Velanthai (Sourth),15EP086P1,Kolapadi
289,Ariyalur,Uadayarpalayam,Velanthai (Sourth),15EP088PY,Vilanthai-2
290,Ariyalur,Uadayarpalayam,Azhagapuram,15EP090PN,Azhagapuram
291,Ariyalur,Uadayarpalayam,Azhagapuram,15EP091PN,Agaram
292,Ariyalur,Uadayarpalayam,Aiyur,15EP092PY,Ayiur
293,Ariyalur,Uadayarpalayam,Aiyur,15EP092P1,Therkunatham
294,Ariyalur,Uadayarpalayam,Aiyur,15EP093PN,Kanguzhi
295,Ariyalur,Uadayarpalayam,Silampur(South),15EP094PY,Silampor
296,Ariyalur,Uadayarpalayam,Silampur(North),15EP094P1,Pukguzhi
297,Ariyalur,Uadayarpalayam,Aathukurichi,15EP097PY,Pariyathukurichi
298,Ariyalur,Uadayarpalayam,Aathukurichi,15EP100PN,Nagampanthal
299,Ariyalur,Uadayarpalayam,Aathukurichi,15EP099P1,Periyakarukai
300,Ariyalur,Uadayarpalayam,Aathukurichi,15EP097P1,Vizhududiyan
301,Ariyalur,Uadayarpalayam,Olaiyur,15EP098PN,Olaiyur
302,Ariyalur,Uadayarpalayam,Rangiyam,15EP099PY,Rangeyam
303,Ariyalur,Uadayarpalayam,Sriraman,15EP101PN,Sriraman
304,Ariyalur,Uadayarpalayam,Koovathur(North),15EP102P1,K.N.Kuppam
305,Ariyalur,Uadayarpalayam,Koovathur(North),15EP102PY,Koovathur-1
306,Ariyalur,Uadayarpalayam,Koovathur(South),15EP103PY,Koovathur-2
307,Ariyalur,Uadayarpalayam,Koovathur(South),15EP103P1,Akinaspuram
308,Ariyalur,Uadayarpalayam,Anikuthichan(South),15EP104PY,Aniguthichan
309,Ariyalur,Uadayarpalayam,Anikuthichan(South),15EP104P1,Munnurankaduvetti
310,Ariyalur,Uadayarpalayam,Kattathur,15EP105PN,Kattathur
311,Ariyalur,Uadayarpalayam,Thirukkalappur,15EP106PY,Thirukalapur
312,Ariyalur,Uadayarpalayam,Thirukkalappur,15EP106P1,Kovilvazhiki
313,Ariyalur,Uadayarpalayam,Parukkal (West),15EP018PY,Parukkal
314,Ariyalur,Uadayarpalayam,Parukkal (West),15EP018P2,Azhisugudi
315,Ariyalur,Uadayarpalayam,Kodukkoor,15EP109PY,Kodukkoor
316,Ariyalur,Uadayarpalayam,Kodukkoor,15EP109P1,K.Kudikadu
317,Ariyalur,Uadayarpalayam,Idaiyakurichi,15EP110PN,Edaiyakurichi-1
318,Ariyalur,Uadayarpalayam,Maruthur,15EP111P1,Kelapatti
319,Ariyalur,Uadayarpalayam,Maruthur,15EP111PY,Maruthur
320,Ariyalur,Uadayarpalayam,Maruthur,15EP112PN,Thirkupattii
321,Ariyalur,Uadayarpalayam,Kuvagam,15EP113PN,Kuvagam
322,Ariyalur,Uadayarpalayam,Kuvagam,15EP114PN,Vallam
323,Ariyalur,Uadayarpalayam,Variyankaval,15EP115PN,Variyankaval
324,Ariyalur,Uadayarpalayam,Elaiyur,15EP116PN,Elaiyur-1
325,Ariyalur,Uadayarpalayam,Elaiyur,15EP117PY,Elaiyur-2
326,Ariyalur,Uadayarpalayam,Devanur,15EP118P1,Kalvettu
327,Ariyalur,Uadayarpalayam,Devanur,15EP118PY,Devanur
328,Ariyalur,Uadayarpalayam,Melur,15EP119PN,Melur
329,Ariyalur,Uadayarpalayam,Pappakudi(South),15EP120PN,Malanikuzhi
330,Ariyalur,Uadayarpalayam,Siluvaicheri,15EP150P1,Siluvachari
331,Ariyalur,Uadayarpalayam,Naduvalur,15EP077PY,Naduvalur
332,Ariyalur,Uadayarpalayam,Naduvalur,15EP077P2,Poovanthikollai
333,Ariyalur,Uadayarpalayam,Sathambadi,15EP061PN,Sathampadi
334,Ariyalur,Uadayarpalayam,Sathambadi,15EP125P1,Kunjuveli
335,Ariyalur,Uadayarpalayam,Sathambadi,15EP125PY,Mudduvanchari
336,Ariyalur,Uadayarpalayam,Ambappur,15EP126P2,Senguzhi
337,Ariyalur,Uadayarpalayam,Ambappur,15EP126P1,Ambapur
338,Ariyalur,Uadayarpalayam,Ambappur,15EP126PY,Vikaramangalam
339,Ariyalur,Uadayarpalayam,Mutthuservamadam,15EP033P2,Kankavadankanallur
340,Ariyalur,Uadayarpalayam,Vetthiyarvettu,15EP035P1,Saluppai
341,Ariyalur,Uadayarpalayam,Venmankondan,15EP079P1,Korikuzhi
